AKJV,American King James Version
AMPC,"Amplified Bible, Classic Edition"
ASV,American Standard Version
BSB,Berean Standard Bible
CPDV,Catholic Public Domain Version
DBT,Derby Bible Translation
DRB,Douay-Rheims Bible
ERV,English Revised Version
ESV,English Standard Version
JPS,JPS Tanakh
KJV,King James Version
NASB,New American Standard Bible
NET,New English Translation
SLT,Smith's Literal Translation
WBT,Webster Bible Translation
WEB,World English Bible
WEY,Weymouth New Testament
YLT,Young's Literal Translation